ID,POL,GODINE,TIP,WiFi servis,Pogodnost dolaska/odlaska,Onlajn rezervisanje,Lokacija hotela,Usluga hrane,Komfor boravka,Zabava u zajednickim prostorijama,Usluga checkin i checkout,Drugi servisi,?isto?a,ZADOVOLJSTVO
58779,Male,37,tourism,3,3,3,4,1,1,1,1,4,1,neutral or dissatisfied
79659,Female,40,aviation,1,4,4,4,1,1,1,3,3,1,neutral or dissatisfied
110293,Female,34,academic,3,4,4,3,5,2,5,4,5,5,neutral or dissatisfied
48014,Male,40,personal,4,3,4,2,2,2,2,3,4,2,neutral or dissatisfied
96517,Female,47,academic,4,4,4,3,2,5,4,4,4,4,satisfied
64685,Male,41,tourism,1,1,1,2,1,1,1,4,4,1,neutral or dissatisfied
64138,Male,39,tourism,4,4,4,4,3,5,4,4,4,3,satisfied
60373,Female,25,business,3,5,3,4,3,3,3,5,5,3,neutral or dissatisfied
14849,Male,41,business,0,0,0,3,2,3,4,4,4,3,satisfied
28319,Female,38,personal,3,3,3,3,2,4,5,2,5,4,satisfied
103012,Female,50,tourism,1,1,1,1,3,5,3,4,3,5,satisfied
124114,Male,29,aviation,1,1,1,1,5,5,5,5,4,5,satisfied
107794,Female,22,tourism,2,4,2,1,4,4,4,4,5,4,neutral or dissatisfied
81983,Female,13,personal,1,1,1,1,1,1,1,1,4,1,neutral or dissatisfied
53164,Male,54,tourism,3,3,3,3,5,3,5,4,5,3,satisfied
82042,Male,21,tourism,2,2,2,3,5,5,5,1,3,5,neutral or dissatisfied
72127,Male,28,aviation,2,1,1,1,2,2,2,3,3,2,neutral or dissatisfied
113046,Male,27,academic,3,3,3,3,4,4,4,4,5,4,satisfied
1050,Female,69,tourism,5,5,5,5,1,3,5,4,5,2,satisfied
54886,Male,35,business,2,3,2,4,4,4,4,4,1,4,neutral or dissatisfied
125918,Female,60,academic,2,2,2,3,1,4,4,4,4,4,neutral or dissatisfied
7467,Female,45,tourism,2,4,2,2,4,5,4,3,4,5,satisfied
78972,Female,57,personal,0,0,0,1,3,5,5,4,5,5,satisfied
126625,Male,40,tourism,5,5,5,5,2,5,5,3,5,4,satisfied
114501,Female,38,academic,3,3,3,3,4,4,4,2,3,4,neutral or dissatisfied
114813,Male,23,aviation,2,4,2,1,4,4,4,5,5,4,neutral or dissatisfied
32167,Male,39,tourism,2,2,2,3,3,3,3,2,4,3,neutral or dissatisfied
68001,Female,52,business,2,2,2,2,4,4,4,4,4,3,satisfied
117052,Male,25,tourism,2,1,2,2,4,3,4,2,2,4,neutral or dissatisfied
8661,Female,48,business,3,3,3,3,5,4,5,4,5,4,satisfied
57165,Female,59,academic,5,5,5,5,2,4,4,3,4,4,satisfied
78610,Male,25,academic,3,3,3,3,4,4,4,4,4,4,satisfied
51058,Male,38,tourism,2,4,2,3,4,4,4,4,5,4,neutral or dissatisfied
92027,Male,46,tourism,2,2,2,2,2,5,5,5,5,4,satisfied
115534,Male,50,business,2,1,1,1,2,2,2,2,3,2,neutral or dissatisfied
9261,Female,38,personal,4,4,4,4,4,4,4,1,4,4,satisfied
61033,Female,53,academic,4,4,4,4,3,5,5,4,5,5,satisfied
75930,Male,30,aviation,3,2,2,2,3,3,3,1,2,3,neutral or dissatisfied
112142,Male,39,tourism,2,2,2,4,5,5,5,5,5,5,neutral or dissatisfied
24518,Male,66,academic,1,4,1,2,2,2,2,5,5,2,neutral or dissatisfied
112524,Male,45,tourism,3,5,3,2,1,1,1,3,4,1,neutral or dissatisfied
101639,Female,25,tourism,5,1,5,4,1,1,1,4,5,1,satisfied
85018,Male,52,tourism,2,4,4,4,1,3,2,1,2,4,neutral or dissatisfied
106922,Male,64,tourism,4,5,4,2,2,2,2,4,4,2,satisfied
32564,Female,50,academic,4,0,4,4,4,4,4,4,4,4,neutral or dissatisfied
92242,Female,41,academic,2,1,1,2,3,4,3,4,5,3,neutral or dissatisfied
73302,Male,26,business,1,1,1,1,4,4,4,4,4,4,satisfied
42267,Female,25,personal,4,4,4,3,3,3,3,3,3,3,neutral or dissatisfied
121358,Female,44,academic,3,3,3,4,5,5,5,2,4,5,neutral or dissatisfied
65655,Female,21,tourism,4,0,4,4,1,1,1,4,5,1,satisfied
88062,Male,47,business,2,2,2,2,3,5,4,5,4,4,satisfied
91330,Male,31,tourism,4,4,4,4,4,4,4,4,2,4,satisfied
22031,Female,57,tourism,3,5,3,2,3,5,5,4,5,5,neutral or dissatisfied
27921,Male,44,business,3,5,3,4,5,2,5,3,5,5,neutral or dissatisfied
51947,Male,45,academic,3,3,3,3,1,3,4,3,4,1,satisfied
40017,Male,13,aviation,2,2,2,3,3,3,3,1,4,3,neutral or dissatisfied
76392,Male,60,tourism,0,5,0,3,4,3,4,4,5,4,satisfied
118486,Female,41,academic,5,5,5,3,2,2,2,4,4,2,satisfied
6012,Male,30,tourism,4,1,1,1,4,4,4,4,2,4,neutral or dissatisfied
30183,Female,51,tourism,5,4,4,4,4,1,5,1,5,1,satisfied
41652,Female,61,tourism,2,5,5,5,5,4,3,3,3,4,satisfied
15138,Female,32,academic,4,1,1,1,4,4,4,5,2,4,satisfied
123589,Female,39,tourism,4,5,4,5,5,5,5,3,1,5,neutral or dissatisfied
114534,Male,19,tourism,3,1,3,2,3,3,3,1,3,3,neutral or dissatisfied
93076,Female,15,academic,1,5,1,3,5,5,5,3,4,5,neutral or dissatisfied
96963,Female,42,personal,3,3,3,3,3,4,3,3,4,3,satisfied
85494,Female,16,business,2,5,2,1,3,4,3,4,4,3,neutral or dissatisfied
72989,Male,19,aviation,5,5,5,5,4,4,4,5,4,4,satisfied
42357,Female,29,academic,2,5,2,2,5,1,5,3,5,5,neutral or dissatisfied
23040,Female,27,aviation,3,3,3,3,3,3,3,3,3,3,neutral or dissatisfied
65420,Male,22,tourism,5,0,5,4,5,5,5,3,1,5,satisfied
65045,Female,15,tourism,3,4,3,3,4,4,4,2,1,4,neutral or dissatisfied
37373,Male,11,business,1,1,1,3,1,1,1,2,1,1,neutral or dissatisfied
44405,Female,34,academic,4,3,4,3,5,5,5,1,4,5,neutral or dissatisfied
16653,Female,26,tourism,2,0,2,4,1,1,1,1,3,1,neutral or dissatisfied
71655,Female,26,aviation,3,5,2,2,4,4,4,3,5,4,neutral or dissatisfied
77591,Male,53,aviation,5,5,5,5,5,5,4,4,4,3,satisfied
4585,Male,36,tourism,4,2,2,2,1,4,4,4,4,1,neutral or dissatisfied
108347,Male,32,tourism,1,5,4,5,1,1,1,4,3,1,neutral or dissatisfied
23400,Male,20,business,2,3,2,3,5,5,5,2,4,5,neutral or dissatisfied
31010,Female,35,business,2,2,2,2,1,1,4,5,4,4,satisfied
57513,Male,15,aviation,2,4,2,1,1,1,1,4,4,1,neutral or dissatisfied
20979,Male,52,aviation,2,5,2,3,3,3,3,2,2,3,neutral or dissatisfied
95841,Male,45,business,1,1,1,1,5,4,2,5,2,5,satisfied
114684,Female,24,tourism,4,4,4,3,3,5,3,4,4,3,neutral or dissatisfied
111667,Female,46,business,4,3,3,3,4,4,4,4,4,4,neutral or dissatisfied
20101,Male,26,tourism,3,0,3,3,1,1,1,3,3,1,neutral or dissatisfied
63212,Male,28,tourism,4,1,1,1,4,4,4,3,2,4,neutral or dissatisfied
8256,Male,11,aviation,1,5,1,3,3,3,3,5,5,3,neutral or dissatisfied
56161,Male,45,aviation,5,5,5,5,2,5,4,3,4,5,satisfied
121196,Male,62,academic,4,5,4,3,4,1,5,1,4,1,neutral or dissatisfied
23788,Female,34,business,3,3,3,3,4,1,4,5,4,3,satisfied
129579,Male,51,business,2,2,2,2,4,5,4,3,4,5,satisfied
127516,Female,58,academic,1,4,4,4,2,4,2,2,2,4,neutral or dissatisfied
18012,Male,22,personal,3,5,3,2,3,3,3,5,5,3,neutral or dissatisfied
45561,Male,8,business,4,4,4,4,4,4,4,2,1,4,satisfied
5228,Male,26,tourism,4,4,4,3,2,2,2,4,5,2,satisfied
18311,Female,22,business,4,0,4,3,3,1,3,4,5,3,neutral or dissatisfied
59891,Female,21,tourism,3,1,1,1,3,3,3,1,3,3,neutral or dissatisfied
60651,Male,31,academic,3,2,4,2,3,3,3,3,4,3,neutral or dissatisfied
51013,Female,44,aviation,2,0,2,2,2,5,1,2,1,5,neutral or dissatisfied
91746,Male,27,academic,2,2,2,2,5,5,5,3,5,5,satisfied
4233,Female,47,aviation,3,1,3,3,2,5,5,3,5,5,satisfied
14187,Male,24,tourism,3,3,3,3,3,3,3,2,2,3,neutral or dissatisfied
19669,Male,67,tourism,1,1,1,1,1,3,1,1,1,1,neutral or dissatisfied
31147,Male,32,business,2,2,2,2,4,4,4,3,5,4,satisfied
128842,Female,58,business,4,4,4,3,4,1,3,1,3,1,satisfied
27562,Male,12,tourism,4,5,4,5,1,1,1,5,4,1,neutral or dissatisfied
775,Female,56,aviation,3,1,1,1,5,2,3,3,3,4,neutral or dissatisfied
14070,Female,58,tourism,3,5,5,1,2,5,1,3,1,3,neutral or dissatisfied
106007,Male,24,aviation,3,3,3,3,5,5,5,1,3,5,neutral or dissatisfied
116004,Male,68,personal,3,4,3,3,5,5,5,4,4,5,neutral or dissatisfied
68886,Male,46,personal,1,1,1,1,3,5,5,5,5,3,satisfied
72413,Male,43,tourism,2,2,2,2,2,4,3,3,3,4,satisfied
73604,Female,55,business,0,4,0,4,4,5,4,4,4,3,satisfied
48415,Female,54,business,4,5,5,2,2,4,3,3,3,4,neutral or dissatisfied
105708,Female,42,personal,5,5,5,5,4,5,2,5,2,3,satisfied
65579,Female,47,academic,1,3,3,3,3,4,1,1,1,4,neutral or dissatisfied
73058,Female,29,aviation,1,1,1,1,5,5,5,4,4,5,neutral or dissatisfied
65585,Female,36,personal,2,4,4,4,2,2,2,1,1,2,neutral or dissatisfied
8346,Female,50,aviation,4,4,4,4,2,5,5,4,5,3,satisfied
79678,Female,31,aviation,4,2,4,4,1,1,1,4,4,1,neutral or dissatisfied
112483,Male,13,tourism,1,4,1,4,4,4,4,4,4,4,neutral or dissatisfied
31698,Male,24,academic,3,4,4,4,5,5,5,2,4,5,neutral or dissatisfied
74030,Female,60,aviation,2,2,2,2,4,1,3,5,3,1,satisfied
124931,Female,42,tourism,2,3,2,3,5,4,3,3,3,2,neutral or dissatisfied
73924,Female,57,tourism,2,2,2,2,4,4,4,4,3,4,satisfied
76073,Female,42,tourism,2,2,4,2,2,4,3,4,3,3,satisfied
104623,Male,20,academic,0,0,0,5,2,2,2,3,5,2,satisfied
58523,Female,51,tourism,3,5,2,4,3,4,4,4,4,3,neutral or dissatisfied
121929,Male,45,tourism,2,5,2,2,2,5,5,3,5,4,satisfied
30704,Female,26,tourism,5,5,5,5,5,5,5,1,3,5,satisfied
58896,Male,26,aviation,2,2,2,3,5,5,5,2,4,5,neutral or dissatisfied
26920,Female,24,aviation,2,1,2,3,3,5,3,2,2,3,neutral or dissatisfied
13884,Male,49,academic,5,1,1,1,5,5,1,5,4,5,satisfied
87681,Female,17,tourism,5,1,4,1,5,4,5,5,3,5,satisfied
81719,Female,39,academic,3,3,3,3,4,5,4,4,4,3,satisfied
85554,Female,49,business,0,1,1,1,3,5,4,4,4,5,satisfied
12645,Female,48,aviation,3,4,4,3,4,4,4,3,4,3,neutral or dissatisfied
101275,Male,52,academic,5,5,5,5,2,5,4,5,4,5,satisfied
95982,Female,25,academic,4,4,4,4,3,3,3,5,4,3,satisfied
74610,Female,16,tourism,3,5,5,5,3,3,3,2,3,3,neutral or dissatisfied
76449,Male,58,tourism,1,1,1,1,2,5,4,5,4,4,satisfied
14030,Male,8,academic,4,3,4,3,3,3,3,4,3,3,neutral or dissatisfied
69692,Male,42,tourism,3,3,5,3,4,4,5,4,3,4,satisfied
47648,Female,52,business,4,1,1,1,2,4,4,2,4,4,neutral or dissatisfied
52168,Female,47,tourism,5,3,3,3,2,1,5,3,5,4,satisfied
60251,Female,69,tourism,1,5,1,2,4,4,1,4,1,3,neutral or dissatisfied
35881,Female,47,tourism,2,3,3,3,5,3,4,3,4,4,neutral or dissatisfied
28852,Female,41,tourism,1,1,1,1,3,4,4,5,4,2,satisfied
55341,Female,40,tourism,4,4,4,3,1,1,1,5,5,1,neutral or dissatisfied
84553,Female,56,business,1,4,1,3,3,1,5,1,5,2,neutral or dissatisfied
100249,Male,41,tourism,2,2,2,2,4,4,4,3,4,4,satisfied
2463,Female,40,academic,3,4,4,4,3,3,3,4,4,3,neutral or dissatisfied
22924,Male,12,academic,2,3,2,2,1,1,1,3,2,1,neutral or dissatisfied
25542,Male,59,academic,4,5,3,4,1,1,1,5,4,1,satisfied
115972,Female,21,tourism,1,5,1,1,2,2,2,3,4,2,neutral or dissatisfied
2980,Male,12,tourism,2,4,2,3,2,2,2,2,1,2,neutral or dissatisfied
125097,Male,31,aviation,1,5,5,5,1,1,1,4,4,1,neutral or dissatisfied
46701,Female,37,tourism,3,2,3,3,2,2,2,4,3,2,neutral or dissatisfied
108006,Female,38,academic,4,0,5,3,2,2,2,3,5,2,satisfied
19578,Male,45,aviation,2,5,0,1,2,5,2,4,4,2,neutral or dissatisfied
59508,Male,43,academic,3,3,3,3,4,4,4,3,4,5,satisfied
56446,Female,52,academic,1,5,2,2,3,5,3,3,3,3,neutral or dissatisfied
48800,Female,57,tourism,3,4,4,4,5,4,2,4,2,2,neutral or dissatisfied
129592,Female,13,business,2,3,2,3,1,1,1,5,5,1,neutral or dissatisfied
114039,Female,45,business,5,5,5,5,5,5,5,3,5,4,satisfied
66800,Female,43,business,5,5,5,5,5,4,5,5,5,3,satisfied
106799,Male,53,tourism,2,4,2,4,2,2,2,2,3,2,neutral or dissatisfied
47057,Male,23,tourism,4,4,1,4,5,5,5,3,3,5,satisfied
61824,Female,16,personal,2,5,2,2,2,2,2,3,5,2,neutral or dissatisfied
68207,Male,23,business,2,2,2,2,2,1,2,3,4,2,neutral or dissatisfied
125512,Male,45,business,2,5,2,4,4,4,4,4,5,4,neutral or dissatisfied
93019,Female,46,academic,2,2,2,2,2,2,5,2,5,3,satisfied
87296,Female,49,academic,2,5,2,2,3,5,1,4,1,3,neutral or dissatisfied
76748,Female,40,academic,4,3,3,3,3,4,3,4,3,3,neutral or dissatisfied
85879,Female,19,business,5,5,5,5,4,4,4,4,4,4,satisfied
63961,Female,48,aviation,4,2,4,3,4,3,1,3,1,1,neutral or dissatisfied
94760,Female,64,aviation,2,4,3,4,5,3,2,4,2,4,neutral or dissatisfied
49608,Female,38,tourism,5,3,3,3,5,5,5,1,1,5,satisfied
80520,Male,23,academic,2,1,1,4,3,3,3,2,3,3,neutral or dissatisfied
23328,Female,38,academic,2,2,2,2,1,5,4,4,4,1,satisfied
13560,Male,41,aviation,1,4,1,2,2,1,2,4,5,2,neutral or dissatisfied
119121,Male,29,business,1,4,1,4,1,1,1,4,3,1,neutral or dissatisfied
42917,Male,47,tourism,5,1,2,1,4,4,4,4,3,4,satisfied
52954,Male,50,tourism,2,3,2,5,4,4,4,3,1,4,neutral or dissatisfied
83112,Female,18,aviation,2,5,2,3,3,3,3,3,5,3,neutral or dissatisfied
88574,Female,20,tourism,2,0,2,3,5,1,5,3,1,5,neutral or dissatisfied
111570,Female,41,academic,2,2,2,2,5,5,4,3,4,4,satisfied
28662,Female,12,tourism,2,4,2,3,1,1,1,4,4,1,neutral or dissatisfied
27177,Female,36,academic,2,3,2,3,2,2,4,2,3,2,neutral or dissatisfied
129585,Male,49,aviation,3,4,3,3,4,5,4,5,4,3,satisfied
35759,Female,55,business,2,2,2,4,2,4,5,3,5,2,neutral or dissatisfied
49475,Female,43,tourism,3,3,3,3,2,3,2,1,2,2,neutral or dissatisfied
78904,Female,49,aviation,2,2,2,2,3,3,3,4,4,3,neutral or dissatisfied
29619,Female,35,tourism,1,1,1,1,3,3,3,3,2,3,neutral or dissatisfied
77512,Male,45,personal,1,1,3,1,3,4,5,4,5,4,satisfied
31631,Female,28,personal,5,5,5,5,5,5,5,1,2,5,satisfied
38913,Male,60,personal,4,4,4,4,1,5,4,1,4,2,satisfied
35366,Male,35,aviation,2,4,2,4,1,2,2,4,2,3,neutral or dissatisfied
111817,Female,38,tourism,3,3,3,5,4,4,4,5,5,4,neutral or dissatisfied
12259,Male,48,tourism,4,5,4,4,4,3,4,2,4,1,satisfied
19790,Female,65,aviation,2,4,3,4,2,4,3,4,3,3,neutral or dissatisfied
33260,Male,30,business,3,5,3,2,1,1,1,5,5,1,neutral or dissatisfied
107079,Female,51,tourism,2,4,5,1,2,5,3,1,3,1,neutral or dissatisfied
15174,Male,23,tourism,5,0,5,2,4,4,4,3,2,4,satisfied
23620,Female,37,tourism,3,4,4,4,3,3,3,3,3,3,neutral or dissatisfied
18128,Male,23,academic,5,5,5,5,5,3,5,3,3,5,satisfied
105291,Male,32,aviation,4,4,4,4,4,4,4,3,3,4,neutral or dissatisfied
56451,Male,67,personal,3,3,3,4,1,1,1,1,5,1,neutral or dissatisfied
102068,Male,65,tourism,1,4,1,1,5,4,4,5,4,3,neutral or dissatisfied
57995,Female,48,business,1,1,1,1,3,5,5,4,5,5,satisfied
146,Male,60,business,4,4,4,4,2,5,4,3,4,3,satisfied
18770,Female,31,tourism,3,1,1,1,3,3,3,4,4,3,neutral or dissatisfied
42774,Male,22,aviation,4,1,5,5,4,4,4,3,4,4,satisfied
13776,Male,27,academic,2,2,2,5,5,5,5,1,4,5,neutral or dissatisfied
103702,Female,19,business,2,2,2,4,1,1,1,4,3,1,neutral or dissatisfied
69826,Female,26,business,3,3,3,4,4,4,4,2,4,4,neutral or dissatisfied
57906,Male,72,academic,4,3,3,3,4,4,4,1,3,4,neutral or dissatisfied
31358,Female,34,tourism,5,5,5,5,1,5,5,5,5,5,satisfied
92805,Female,45,academic,2,2,2,2,4,4,4,4,4,3,satisfied
104375,Male,51,academic,2,4,4,4,3,4,2,4,2,1,neutral or dissatisfied
109896,Female,26,academic,2,2,2,3,4,3,4,1,4,4,neutral or dissatisfied
102955,Female,12,academic,3,4,3,3,1,1,1,4,4,1,neutral or dissatisfied
44736,Female,72,personal,2,5,3,5,2,4,3,4,3,3,neutral or dissatisfied
28135,Male,45,academic,4,2,4,4,4,4,4,5,5,4,satisfied
55871,Female,22,business,2,2,2,2,5,5,5,5,4,5,satisfied
8818,Female,53,business,4,4,4,1,4,4,5,4,5,5,neutral or dissatisfied
86148,Female,33,personal,3,3,3,4,4,4,4,5,5,4,neutral or dissatisfied
120162,Female,46,academic,4,0,4,1,5,4,4,3,4,3,neutral or dissatisfied
117547,Male,54,tourism,2,2,2,2,5,5,5,4,5,4,satisfied
112385,Female,40,business,4,2,3,3,4,4,4,1,3,4,neutral or dissatisfied
19908,Female,37,academic,2,4,3,3,4,3,2,1,2,4,neutral or dissatisfied
45098,Female,35,tourism,2,2,5,2,1,1,5,3,5,3,satisfied
43810,Female,26,business,4,0,5,3,4,4,4,4,4,4,satisfied
22981,Female,62,aviation,4,3,3,3,2,1,5,3,5,1,satisfied
68134,Male,58,academic,1,1,1,1,5,5,3,5,3,3,satisfied
23518,Female,55,business,2,3,2,3,2,5,2,5,2,3,neutral or dissatisfied
109188,Female,60,aviation,3,1,1,1,2,2,3,2,3,2,neutral or dissatisfied
1150,Female,15,tourism,3,5,3,4,5,1,5,3,5,5,neutral or dissatisfied
44586,Male,67,personal,4,1,4,3,5,5,5,4,3,5,neutral or dissatisfied
84299,Male,43,business,0,1,1,2,5,4,3,5,3,5,satisfied
103793,Male,30,aviation,1,1,1,1,5,5,5,5,5,5,satisfied
35032,Female,42,business,5,1,4,1,3,3,5,3,5,1,satisfied
103291,Male,40,business,3,3,3,3,4,4,4,4,5,4,satisfied
93909,Male,47,academic,2,2,2,2,2,5,5,4,5,4,satisfied
127925,Male,38,business,4,2,2,2,4,3,4,3,4,2,neutral or dissatisfied
128097,Female,25,academic,3,0,3,5,3,3,1,3,3,3,neutral or dissatisfied
26149,Male,26,tourism,3,5,3,4,3,3,5,3,4,3,neutral or dissatisfied
95886,Male,66,academic,2,4,2,3,4,4,4,3,4,4,neutral or dissatisfied
125425,Female,69,tourism,1,4,4,4,3,4,1,4,1,2,neutral or dissatisfied
120078,Female,22,tourism,2,5,5,5,2,2,2,3,3,2,neutral or dissatisfied
60625,Male,8,business,2,5,2,3,3,3,3,5,5,3,neutral or dissatisfied
115031,Female,37,personal,5,5,5,4,4,4,4,3,4,4,satisfied
37077,Female,69,tourism,1,5,1,5,4,4,1,4,1,4,neutral or dissatisfied
69252,Male,28,tourism,4,2,2,2,4,4,4,3,4,4,neutral or dissatisfied
12194,Male,51,business,2,4,1,4,2,2,2,4,3,2,neutral or dissatisfied
80188,Female,46,personal,3,1,3,3,3,4,2,4,1,4,neutral or dissatisfied
10430,Male,39,business,4,4,4,3,4,2,4,4,4,4,satisfied
21262,Female,21,academic,4,3,4,4,1,1,1,1,4,1,neutral or dissatisfied
55236,Male,46,business,4,4,4,4,2,4,4,5,4,5,satisfied
126917,Female,36,tourism,2,2,2,2,5,5,5,5,5,3,satisfied
112190,Male,60,tourism,3,3,3,3,3,4,4,3,4,3,satisfied
16342,Male,23,academic,2,5,5,5,2,1,2,4,4,2,neutral or dissatisfied
2201,Male,52,personal,4,4,4,5,4,4,4,5,4,4,satisfied
53687,Male,36,business,4,5,5,5,4,4,4,2,3,4,satisfied
47168,Male,41,aviation,3,3,2,3,4,3,4,3,4,5,satisfied
8782,Male,45,tourism,2,2,2,2,3,5,4,4,4,3,satisfied
75468,Male,67,business,3,4,3,3,5,2,5,1,4,5,neutral or dissatisfied
663,Female,45,business,4,4,4,4,3,5,4,5,4,5,satisfied
74740,Female,56,tourism,3,5,3,3,4,5,1,2,1,5,neutral or dissatisfied
117904,Female,62,tourism,3,3,2,2,2,2,2,1,3,2,neutral or dissatisfied
59599,Female,30,business,2,1,1,1,2,2,2,3,4,2,neutral or dissatisfied
29479,Male,48,business,4,5,5,5,4,4,4,1,2,4,satisfied
105096,Female,32,personal,2,2,2,2,4,4,4,3,4,4,satisfied
94421,Female,30,tourism,0,1,1,1,2,2,2,3,4,2,satisfied
49058,Female,40,personal,1,1,1,5,4,2,4,5,2,4,neutral or dissatisfied
47795,Male,42,academic,5,5,5,5,5,4,4,4,4,3,satisfied
125451,Female,52,business,5,5,5,5,5,5,3,5,3,5,satisfied
96114,Male,50,aviation,5,5,5,5,3,4,5,4,5,3,satisfied
23241,Female,18,aviation,2,5,2,3,2,2,2,5,4,2,neutral or dissatisfied
106258,Male,30,tourism,3,3,3,3,5,5,5,3,5,5,satisfied
64874,Female,26,business,3,2,3,3,1,1,1,3,3,1,neutral or dissatisfied
100136,Male,37,tourism,4,4,4,4,4,4,4,4,5,4,satisfied
51774,Male,64,academic,1,4,0,3,1,1,1,3,4,1,neutral or dissatisfied
124301,Male,21,business,5,0,5,1,2,2,2,3,4,2,satisfied
36127,Female,52,business,3,2,4,4,3,4,3,1,3,3,neutral or dissatisfied
121855,Female,52,business,5,5,5,5,5,4,5,4,5,3,satisfied
52648,Female,29,academic,2,2,2,2,5,2,5,2,3,5,neutral or dissatisfied
38803,Female,13,tourism,2,1,2,3,1,1,1,1,4,1,neutral or dissatisfied
39916,Male,28,tourism,1,1,3,1,5,5,5,5,5,5,satisfied
95301,Male,13,aviation,2,4,2,3,2,2,2,4,4,2,neutral or dissatisfied
16505,Male,16,business,2,5,2,3,5,5,5,5,4,5,neutral or dissatisfied
63771,Male,58,personal,3,3,3,3,3,5,4,4,4,5,satisfied
51960,Male,24,tourism,3,0,3,1,5,5,5,5,3,5,neutral or dissatisfied
111305,Male,25,academic,2,4,4,4,2,2,2,4,3,2,neutral or dissatisfied
114340,Male,34,personal,2,4,2,2,4,4,4,3,5,4,neutral or dissatisfied
17379,Female,44,tourism,5,5,5,5,5,3,5,2,5,3,satisfied
65992,Female,23,tourism,3,5,3,1,1,1,1,4,5,1,neutral or dissatisfied
104578,Male,20,business,5,3,5,4,1,1,1,4,4,1,satisfied
7443,Male,8,tourism,4,3,4,1,3,3,3,3,5,3,neutral or dissatisfied
67768,Female,26,aviation,1,5,5,5,1,4,1,3,3,1,neutral or dissatisfied
89581,Male,43,academic,4,4,4,4,5,5,5,3,3,5,neutral or dissatisfied
47417,Female,72,academic,2,1,1,1,3,4,2,1,2,4,neutral or dissatisfied
30231,Female,48,business,2,4,4,4,4,4,2,5,2,1,satisfied
14343,Male,27,tourism,4,5,4,3,3,1,3,4,4,3,neutral or dissatisfied
79924,Male,25,academic,4,2,2,2,4,4,1,4,2,4,neutral or dissatisfied
105654,Male,26,business,1,1,1,2,5,5,5,4,2,5,neutral or dissatisfied
29495,Male,16,aviation,3,4,3,3,1,3,1,2,4,1,neutral or dissatisfied
98183,Female,36,academic,2,2,2,3,5,5,5,3,4,5,neutral or dissatisfied
87554,Male,55,tourism,4,4,2,1,5,4,3,4,3,5,neutral or dissatisfied
